位於 at
芦 lu
芬 diclofenac
芭 pattaya
芮 jinx
芯 core
擊中 hit
花 spend
芳 fang
降低 reduce
搜捕 manhunt
导弹 missile
受害 victims
芷 zhi
芸 brassica
芹 celery
议题 issues
排球 volleyball
芽 bud
拜訪 visit
副作用 effects
苇 reed
開會 start
cctv cctv
苍 cang
苏 sue
苑 yuan
葬禮 funerals
苓 ling
苔 tess
華裔 american
苗 seedling
分鐘 minutes
只好 had
藏人 tibetans
苞 bracts
厭惡 hate
苟 gou
播出 broadcast
苣 chicory
若 if
撰写 writing
苦 bitter
民法 civil
否則 otherwise
苯 benzene
英 british
锻炼 exercise
貧窮 poverty
disney disney
苷 adenosine
short short
紀念 century
画像 portrait
苻 fu
開朗 ron
finance finance
實戰 combat
茂 mao
外交部 ministry
范 fan
阿兰 lan
茄 jacket
茅 mao
長榮 glory
展品 exhibits
茉 morgana
奧斯陸 olympus
preload preload
茎 stem
尖山 jianshan
封建 feudal
茗 tea
路北 northbound
茜 nancy
gallery gallery
获选 elected
波及 spread
茨 watts
此舉 this
大运河 canal
功臣 hero
生命 life
茱 julia
茲 moritz
茵 rhine
茶 tea
班禅 panchen
茹 ru
历时 lasted
台大 tai
壓倒性 pressure
荀 xun
荃 tsuen
荆 jing
草 grass
荊 negundo
荐 recommended
荒 shortage
越後 later
荔 lai
荚 pod
荠 mosla
荡 swing
荣 proud
荫 shade
药 medicine
各国 states
荷 load
荻 di
到达 reach
尋常 search
莉 mary
莊 chuang
每當 every
莎 lisa
寫成 write
听到 hear
dan dan
尖峰 spike
莒 ju
莓 blackberry
shows shows
凹陷 sag
莖 penis
華視 tv
das das
jordan jordan
莘 xin
day day
厨房 kitchen
莞 wan
气流 airflow
出院 discharged
抵达 arrived
小川 ogawa
各地 around
socks socks
莪 curcuma
莫 mo
莱 barclays
莲 lotus
获 received
莹 ying
拍賣 sell
莺 warbler
莽 reckless
光武帝 guangwu
菀 aster
菁 phthalocyanine
路口 intersection
菅 naoto
菇 mushroom
菈 toula
宝殿 palace
菊 chrysanthemum
菌 bacteria
菏 mint
阻力 resistance
導師 mentor
發源地 source
菜 food
留下 left
editors editors
死者 dead
華 washington
泰勒 taylor
菱 ling
菲 philip
ddr ddr
third third
檢驗 experience
菸 smoking
句子 sentence
dec dec
萃 extraction
孤独 lonely
def def
dee dee
陆军 army
dei dei
萊 rai
del del
萌 eruption
den den
萍 ping
der der
des des
萝 dorothy
操作 operation
米爾 mill
营 camp
going going
萧 shaw
吸入 inhalation
impact impact
萨 pizza
南沙 nansha
宣武 xuanwu
解析度 resolution
萬 million
恐怖主義 terrorism
萱 xuanxuan
抵達 arrived
琥珀 amber
南河 nanhe
三藩市 francisco
萼 calyx
落 fall
主人公 hero
葆 paula
葉 leaves
安溪 anxi
跳台 platform
据称 allegedly
鑄造 cast
小平 xiaoping
氣氛 atmosphere
著 with
甲午 jiawu
葛 ge
實際上 actually
葡 portuguese
接獲 receive
董 tung
紙幣 coin
贪污 corruption
葦 葦
葬 buried
藝人 artist
葱 onion
葵 kwai
沙巴 sabah
maximum maximum
did did
die die
蒂 pedicle
hollywood hollywood
少年 juvenile
din din
蒋 jiang
陣亡 dead
宗派 sectarian
孤獨 solitary
div div
用品 supplies
气温 temperature
蒙 simon
密林 jungle
勒索 blackmail
蒜 garlic
南洋 nanyang
華語 language
制造 manufacturing
出面 intervened
蒨 updated
擔任 worry
brown brown
專心 dedicated
蒲 po
振興 exciting
富有 rich
統合 unified
蒸 steam
搜救 rescue
蒼 flies
环节 link
蒿 artemisia
氧气 oxygen
蓁 zhen
蓄 storage
法国 france
永樂 yong-happy
蓉 rong
蓋 cover
導引 guide
留任 remain
附加 additional
細小 small
氧氣 oxygen
蓓 becky
法國 french
蓝 blue
蓟 thistle
山区 mountain
获释 released
length length
阿南 nam
dlr dlr
蓬 peng
蓮 lotus
導彈 missiles
电压 voltage
小弟 brother
購物 shopping
蓼 liao
摩尼 mani
財經 wealth
危機 crisis
荷馬 homer
南海 nanhai
山南 shannan
富村 fu
反彈 anti-bomb
對待 treat
蔓 vine
除以 divide
瓶子 bottle
代理商 agents
dna dna
分院 branch
甘地 gandhi
瑪麗亞 maria
蔚 wei
吞吐量 throughput
蔡 cai
藤井 fujii
蔣 蔣
dns dns
being being
蔭 shade
存疑 doubt
对战 battle
切除 resection
ホール ホール
doc doc
蔻 coach
dog dog
口岸 port
doi doi
don don
洛伊 roy
蕃 tomatoes
dom dom
分隔 separated
dot dot
天主堂 church
蕈 mushroom
dos dos
蕉 jiao
蕊 core
艾略特 elliot
居士 lay
開業 open
不小心 careless
推理 reasoning
拓跋 tuoba
known known
stream stream
蕙 wai
crime crime
蕨 ferns
台子 table
名城 city
蕭 depression
蕲 qi
蕴 yun
關心 caring
男友 boyfriend
蕾 tracy
居多 majority
薄 thin
薇 vivian
edward edward
糖果 candy
薊 薊
泰和 taihe
降到 minimize
薑 ginger
分離 separation
阿古 agu
山口 yamaguchi
薛 xue
cdma cdma
薦 recommended
薨 薨
薩 sacramento
各大 major
薪 pay
採用 use
薫 lavender
薯 fries
薰 lavender
開槍 shoot
南港 nangang
动荡 turmoil
化合物 compounds
赫斯 hurstwood
拆迁 demolition
薹 bolting
史学 historiography
原文 original
藉 by
史學 history
藍 blue
藏 hide
原料 materials
卡洛 carlo
藓 mosses
南湖 nanhu
宮殿 palace
藜 quinoa
藝 artists
藤 vine
藥 drugs
藩 clan
印歐 indo-european
君主制 monarchy
限制 limit
前身 predecessor
due due
質疑 doubt
藻 algae
就將 will
dup dup
anime anime
就将 will
duo duo
殉職 martyrdom
吞噬 phagocytosis
跨国 transnational
蘆 aloe
蘇 soviet
蘊 蘊
蘋 apple
史家 historians
叶子 leaves
dvd dvd
水母 jellyfish
欣賞 appreciate
陪伴 with
iupac iupac
蘚 erythrosin
治安 security
開機 open
cdot cdot
蘭 portland
立陶宛 lithuania
南溪 nanxi
索引 index
ministry ministry
毛皮 fur
史實 shi
蘿 turnip
加蓬 gabon
經典 canon
虎 tiger
虏 krupp
友情 friendship
虐 abuse
創設 create
投降 surrender
虔 fundamentalist
處 everywhere
升為 promoted
實數 reality
虚 virtual
虛 humble
虜 captive
询问 ask
虞 yu
號 number
虢 guo
河岸 river
虫 insect
虱 lice
学生 students
dyh dyh
古川 furukawa
名士 celebrities
dyk dyk
虹 rainbow
原是 was
巡回演唱 touring
擊出 attack
虽 although
虾 shrimp
蚁 ant
同性戀 homosexual
理科 science
名声 reputation
蚊 mosquito
取得 made
台山 taishan
赤松 densiflora
蚌 clam
周一 monday
吸取 lessons
蚕 silkworm
網上 online
属地 territorial
古巴 cuba
實施 actually
蚜 aphid
尼子 nizi
水池 pool
細川 sichuan
蚤 fleas
周三 wednesday
学界 academic
琵琶 pipa
撤回 withdrawn
函館 library
蓋爾 seoul
班級 class
安然 enron
蛇 snake
參戰 participation
蛋 eggs
该队 team
射手 archer
字眼 word
apple apple
common common
紧张 nervous
泥土 soil
蛙 frog
蛛 tarantula
pushpin pushpin
twin twin
蛟 jiao
蛤 clams
氣溫 temperature
蛮 pretty
尺寸 size
反感 disgusted
formula formula
蛾 moth
蜀 shu
蜂 bee
結婚 married
用地 land
蜆 蜆
告別 tell
分類 classification
蜜 honey
叛徒 traitor
麾下 command
蜡 wax
蜢 蜢
biology biology
武藏 musashi
去掉 remove
蜥 iguana
周五 friday
吻合 anastomosis
藉口 excuse
打鼓 drums
向外 outward
蜱 tick
武藤 muto
南澳 nanao
水泥 cement
theory theory
xtools xtools
后妃 wives
原有 original
蝇 flies
蝉 cicada
foundation foundation
secret secret
加藤 kato
甚多 much
麥克 microphone
qquad qquad
identity identity
對應 response
當上 on
當下 when
蝠 manta
擂台 ring
蝦 lobster
原本 originally
facebook facebook
投靠 trust
蝨 lice
前途 future
蝮 deinagkistrodon
蝰 viperidae
院内 hospital
參拜 participation
蝶 butterfly
麦克 mike
座談會 talking
键盘 keyboard
當中 in
青天白日 qingtian
此處 this
蝽 pentatomidae
谴责 condemned
水流 flow
河川 river
關懷 care
融 thaw
前進 forward
на на
反應 reaction
化石 fossil
洛克 locke
螢 screens
наявного наявного
原来 originally
螯 chelating
eds eds
edu edu
螺 screw
eee eee
對戰 combat
市政府 government
蟒 python
jackson jackson
沿岸 coast
對手 hand
尋找 search
系数 coefficient
民營 camp
受惠 benefit
台州 taizhou
蟬 cicadas
維修 maintenance
蟲 insects
双手 hands
蟹 crab
路基 subgrade
蟻 ants
蟾 xenopus
泰国 thailand
year year
蠅 flies
陣列 array
反戰 anti-war
口径 caliber
branch branch
双打 doubles
蠍 die
田地 fields
泰國 thailand
居家 home
near near
對抗 against
當代 generation
economy economy
community community
та та
水深 depth
前部 front
必要性 necessity
接着 then
河床 riverbed
蠻 somewhat
血 blood
boston boston
掩盖 cover
衆 crush
话题 topic
ein ein
行 yes
獎金 awards
衍 yan
屬地 land
術 tactics
衔 title
街 street
衙 ya
衛 guards
衝 rush
衞 hygiene
反抗 resistance
衡 equity
衢 qu
衣 clothing
补 fill
表 table
穆罕默德 mohammed
簽約 signed
衫 shirt
衬 lining
衰 failure
關押 remand
波多 puerto
衷 compromise
水温 temperature
洗劫 ransacked
泰坦 titan
袁 yuan
原案 original
turbo turbo
麥加 mecca
袋 bag
袍 robe
袖 sleeve
nathan nathan
尾崎 yuzaki
袜 socks
召开 held
歌詞 lyrics
minister minister
need need
當作 as
elo elo
被 be
欺負 bullying
學生 students
袭 hit
users users
canada canada
大主教 archbishop
emi emi
永清 yongqing
裁 cd
裂 crack
佛教徒 buddhists
装 loaded
泉山 quanshan
畫像 picture
emu emu
古怪 weird
裏 here
同学 students
水源 water
裔 ethnic
山地 mountain
蒸發 steam
裕 yu
裘 jo
裙 skirt
動脈 pulse
end end
補 compensate
裝 equipped
管道 pipeline
eng eng
名字 name
裡 here
結尾 end
攝影棚 studio
蓋瑞 gary
大部分 most
只得 only
ent ent
著色 color
forum forum
裳 chang
裴 pei
裸 naked
裹 wrapped
製 manufacturing
education education
甲基 methyl
複 copy
eos eos
褐 brown
褒 bergman
治平 leveling
褚 chu
山坡 hillside
proceedings proceedings
汐止 hsichih
neil neil
抚顺 fushun
薩姆 sam
褲 pants
褶 deconvolution
法学 law
名家 famous
吴国 wu
襄 nanxiang
试验 test
擾亂 disturb
cell cell
射擊 shooting
医生 doctor
法學 law
申報 shen
精湛 exquisite
era era
命中 hit
门户 portal
沙拉 salad
損毀 destroyed
襟 flaps
審核 review
法定 statutory
襪 sock
豌豆 peas
約旦 jordan
法官 judges
刪除 delete
襲 attacked
高等院校 institutions
山城 mountain
雅加達 accor
綠化 green
初音 hatsune
尾巴 tail
发挥 play
西 west
eso eso
要 to
覃 qintang
esp esp
覆 reply
est est
步行 walk
見 see
升班 promoted
流亡 exile
活佛 buddha
規 foul
阻塞 obstructive
名将 name
eta eta
etc etc
視 vision
口感 taste
精準 accurate
掌管 charge
below below
尺度 scale
estate estate
親 dear
吉岡 fukuoka
同居 cohabitation
参政 participation
覺 feel
覽 browsers
宮澤 palace
觀 watching
次郎 jiro
仙后座 cassiopeia
见 see
观 view
规 compliance
除去 remove
视 as
览 overview
趁机 opportunity
觉 sleep
yeok yeok
隊伍 team
eva eva
角 corner
參政 participation
後漢書 post-hans
搭档 partner
陷入 into
觀察到 observe
解 solution
綜合 complex
参数 parameters
mathcal mathcal
触 touch
披露 disclosure
半球 hemisphere
觸 touch
麥可 michael
言 statement
訂 subscribers
varphi varphi
計 calculations
千瓦 kw
屏山 pingshan
訊 messaging
可怕 terrible
命令 command
討 discussing
名山 mountains
周六 saturday
剪輯 editing
訐 訐
武装 armed
訓 訓覺
exe exe
陳列 same
生存 survival
託 entrusted
瓦房 wafangdian
記 remember
勾結 shang
黑人 black
exp exp
exo exo
參數 parameters
ext ext
法属 french
訥 genesse
訪 visit
藤原 cane
設 suppose
前鋒 front
eye eye
許 maybe
訴 tell
訶 quijote
加裝 installed
泉州 quanzhou
總經理 president
武裝 armament
法屬 french
診 diagnostic
註 registration
除名 de-listing
証 warrant
薄弱 weak
流体 fluid
博物 naturalist
實業 reality
各州 states
default default
gray gray
詔 詔
評 criticism
詞 word
筹集 raise
試 try
black black
提琴 viola
詩 poetry
cest cest
約會 covenant
話 words
該 shouldn't
shinee shinee
詳 detailed
各市 municipalities
開源 open-source
詹 chim
陽光 sunshine
变换 transform
正規 normal
誅 誅
洞口 hole
誉 goodwill
指責 responsibility
誌 magazine
認 think
司徒 stu
游擊隊 team
誓 affidavit
誕 christmas
誘 lure
男士 men
語 language
君子 gentleman
誠 honest
素描 sketch
字符 characters
誤 misunderstanding
誥 誥
誦 recite
周刊 weekly
尊敬 respect
擢升 promoted
說 say
説 help
誰 who
課 homework
誼 sorority
調 adjust
next next
負荷 negative
談 talk
可惜 unfortunately
請 please
安田 yasuda
諒 forgive
加西 quasi
論 theory
mfadef mfadef
簽署 signed
memorial memorial
voiced voiced
諜 mole
擴充 expansion
news news
諡 諡
麵包 bread
諧 harmony
諫 諫
諭 諭
grey grey
陪同 escorted
諱 conceal
卡爾 carl
諸 massachusetts
greg greg
諾 normandy
吉川 yoshikawa
play play
謀 murdered
謂 called
歧視 disambiguation
随便 whatever
摩托 motorcycle
反攻 counterattack
fab fab
謊 lie
卡片 card
謎 mystery
男女 gender
fan fan
fam fam
far far
fat fat
探究 explore
謙 humility
謚 front-line
講 talk
受損 damaged
謝 thank
plan plan
学科 subject
用字 word
民生 livelihood
謨 謨
fbi fbi
卡特 carter
謹 cautious
民用 civilian
赤水 chishui
對於 for
尽快 soon
fcc fcc
獲選 select
證 prove
julia julia
識 consciousness
memories memories
譙 譙
譚 tantra
譜 recipes
完畢 finish
推移 over
fda fda
合并 merge
警 police
双方 parties
它的 it's
攝影機 camera
藥品 drugs
又是 is
譯 translated
議 suggestion
關於 about
少数 minority
護 protect
精灵 elves
譽 greatness
山姆 sam
economic economic
線上 online
讀 read
各式 various
feb feb
毒素 toxin
防守 defense
變 change
小新 nova
葫芦 gourd
堪薩斯 kansas
少數 few
級數 tier
讓 let
當前 before
讚 praise
superordo superordo
流傳 streaming
ffa ffa
治愈 cure
计 millions
粗略 rough
ffc ffc
订 booking
ffe ffe
认 recognize
計算機 calculator
ffd ffd
定理 theorem
fff fff
讨 recover
让 let
珍藏 collection
训 unitar
即為 that
议 propose
讯 hearing
记 remember
讲 speak
反日 anti-japanese
讷 olonne
许 xu
江水 dongjiang
论 on
讽 irony
设 set
访 visit
证 certificate
politics politics
诃 chekhov
评 assessment
疑似 suspected
识 general
诉 v.
诊 diagnosis
词 word
诏 chao
译 translation
葡萄 grape
小明 xiaoming
试 try
插畫 insert
诗 poem
將會 will
經國 country
实现 achieve
诚 cheng
創辦 creative
诛 punish
唐高祖 tangauzu
话 words
伊斯蘭 islam
同年 year
询 polling
该 the
详 detailed
孤立 isolated
语 spanish
屏幕 screen
误 mistaken
诰 patent
诱 lure
说 said
诵 chanting
请 please
诸 all
反映 reflect
诺 nottingham
派兵 troops
读 read
小春 xiaochun
课 class
向左 left
高速公路 highway
谁 who
vladimir vladimir
调 adjustable
谅 understanding
谈 talk
谊 huayi
谋 conspiracy
搭檔 partner
谌 anthony
谍 spy
瑕疵 defects
谏 remonstrance
谐 harmonic
注射 injection
谓 means
将来 future
谔 谔
谕 oracle
小時 hours
谜 mystery
谟 mo
谢 thanks
谥 posthumous
谦 modest
谨 remarks
谭 tan
谱 spectrum
又會 will
谷 valley
江河 rivers
否定 negative
台南市 tainan
創造 created
洋基 yankees
豆 beans
流入 inflows
又有 have
课题 subject
氣球 balloon
豐 harvest
甲子 jiazi
拆除 demolition
刺青 tattoo
豔 brightly
豚 ragweed
素数 pixels
象 like
charge charge
豪 marriott
豫 relaxation
豬 pork
派出 sent
fly fly
法庭 court
豹 leopard
里程碑 milestone
carlos carlos
貂 ferret
田家 tian
挑起 provoke
權限 rights
貌 appearance
接管 takeover
貓 cat
異名 name
泰安 taian
孩童 children
貝 bay
貞 joan
負 negative
needs needs
財 fortune
貢 contributed
busters busters
貧 poorer
貨 currency
販 trafficking
水牛 buffalo
貪 greedy
貫 consistent
江津 jiangjin
責 rebuke
高分子 polymer
右手 right
貳 貳
貴 expensive
piece piece
季節 season
貶 awareness
買 buy
没收 confiscation
沒有 no
費 charge
貼 paste
貽 brings
貿 trades
賽程 race
賀 hubbard
資 capitalism
foo foo
for for
賈 steve
俄亥俄州 ohio
ustring ustring
賊 sepia
活力 vitality
學社 school
fox fox
賓 pennsylvania
流出 outflow
江浙 jiangsu
法式 french
阿嬤 grandma
賜 grant
賞 appreciated
阶层 class
起步 start
digital digital
賠 reparations
賢 謙賢
賣 sell
推算 projections
賤 cheap
賦 talented
質 quality
賭 gambling
原油 oil
賴 depended
活動 activity
男子 man
賺 earn
購 shopping
賽 race
劝说 persuade
流利 fluent
關東 something
贈 donors
贊 sponsors
操場 playground
贏 win
少有 few
fra fra
青少年 adolescents
else else
贛 贛
男孩 boy
贝 bayesian
贞 zhen
负 negative
贡 tribute
财 wealth
责 accountability
贤 yin
败 defeat
账 accounts
货 goods
质 quality
贩 stall
粉碎 crushed
贪 corruption
贫 poverty
贬 banished
购 purchase
贯 sequential
certification certification
贴 tips
贵 your
活化 activation
撰寫 write
贸 unctad
费 fee
贺 he
生平 life
贻 mussels
贼 thief
同心 concentric
贾 jia
陣地 place
民眾 people
展开 expand
同志 homosexuals
組成 composed
资 funding
小松 komatsu
古生物 paleontology
赋 assignment
grades grades
赌 bet
汪汪 barking
赏 reward
赐 give
學科 science
取景 viewfinder
赖 lai
赛 game
法律 legal
赞 praise
encore encore
赟 赟
赠 gift
赢 win
江淮 jianghuai
小林 kobayashi
赣 jiangxi
ftp ftp
赤 red
赦 sins
elst elst
質素 substances
赫 khz
走 go
places places
赴 to
赵 zhao
赶 out
起 up
旧金山 francisco
fun fun
採納 the
趁 while
inchikey inchikey
超 super
瓦斯 gas
越 more
趋 chemokine
泰山 taishan
second second
同性 gay
摩擦 friction
向後 after
趕 catch
趙 趙
nfpa nfpa
擾動 disturb
山寨 cottage
提督 prefect
趟 trip
趣 interest
搖滾 rock
author author
趨 trends
少林 shaolin
plus plus
跨度 span
license license
足 foot
趴 lying
dream dream
流動 flow
趾 toe
塞浦路斯 cyprus
占用 occupied
跃 jump
史学家 historian
跋 sequence
探索 exploration
跌 fell
寧波 ningbo
跑 run
画家 painter
江湖 lakes
suzuki suzuki
距 margin
跟 with
跡 signs
毫米 mm
素有 as
跨 across
路 road
跳 jump
医科 medical
接納 receiving
nation nation
隨便 random
踏 step
吞并 annexation
擎天 sky
室町 room-cho
踢 kick
歌迷 fans
王道 kingly
踩 on
古文 ancient
糾正 tangled
动词 verb
取材 based
洛基 rocky
同情 sympathy
少校 major
統治者 ruler
素材 material
水球 polo
蹄 hoof
攀升 rising
origins origins
尚未 yet
蹤 tracked
學童 students
蹦 trampoline
摩斯 morse
外祖父 grandfather
專業 professional
commercial commercial
没有 no
附属 subsidiary
同意 agreed
躍 jumping
居所 residence
облікова облікова
山峰 peaks
剔除 removed
環流 loop
陶器 pottery
捍衛 defend
呵呵 oh
身 body
躲 hide
阿富汗 afghanistan
山崎 yamazaki
附屬 attached
前面 front
未婚妻 fiancee
工作站 workstation
車 car
軌 track
軍 military
結成 ended
軒 lingxuan
随即 then
gap gap
gas gas
院士 academician
gay gay
軟 software
千秋 qianqiu
呼叫 call
reading reading
呼号 cry
托勒密 ptolemy
軸 axis
流向 flow
合成 synthesis
較 harder
番地 pan
載 download
編修 edit
陵园 cemetery
絲帶 ribbon
type type
april april
呼吁 appeal
輔 rental
輕 young
輛 td
輝 shone
除外 except
除夕 eve
段落 paragraph
輩 lifetime
輪 round
安福 an
輯 editors
gdp gdp
呼吸 breathing
輸 lose
命名 named
force force
輻 radiation
輿 輿
轄 轄
轉 turn
随后 then
轎 vehicles
geo geo
gen gen
ger ger
get get
限定 qualified
汽水 soda
power power
叢書 books
北美 nafta
轟 bomber
路径 path
车 car
提示 prompted
水生 aquatic
轨 rail
轩 hennessy
九十九 99
转 go
隼人 falcon
轭 yoke
玉里 yuli
轮 round
软 soft
轰 detonation
水田 paddy
授與 grant
轴 axis
platformtype platformtype
gfw gfw
周四 thursday
轻 light
载 contained
洛夫 ralph
海上 sea
口服 oral
甘迺迪 kennedy
属性 property
较 more
支付 pay
辅 auxiliary
隊員 team
辆 car
阿巴 aba
山川 mountains
辈 generation
辉 hui
alexa alexa
挑選 select
接續 continued
被告人 defendant
辑 repertoire
路徑 path
输 lose
用心 heart
辖 its
辛 xin
辜 koo
辞 remarks
傳教士 missionary
辟 peggotty
辣 spicy
甲府 kofu
辦 hosted
可於 but
辨 differentiation
辩 argue
陸地 mainland
辭 resignation
周圍 around
辯 argued
阴影 shadow
辰 e
辱 degrading
農 farm
ghz ghz
边 side
路德 luther
辻 tsujitani
辽 liao
防御 defense
达 up
界定 defined
迁 moved
迄 inclusive
迅 schindler
gif gif
过 seen
迈 michael
波恩 bonn
迎 welcome
合拍 tune
运 transport
近 nearly
汽油 gasoline
返 return
还 also
station station
这 this
进 into
远 far
违 contrary
连 even
生意 business
島上 island
迟 late
factory factory
欧阳 ouyang
維基 dimensional
迥 jiong
迦 canaan
起源 origin
另有 another
迪 andy
永生 immortality
迫 forced
吃掉 eat
史料 historical
迭 iteration
述 the
迴 regression
史學家 historians
迷 fans
專欄 professional
迹 miracles
海事 maritime
追 chasing
宝石 gem
叢林 bush
退 back
送 send
生態 ecological
适 adequate
逃 escape
逆 inverter
选 selected
逊 jefferson
透 through
逐 by
递 recursive
途 way
逗 make
這 this
升空 launch
通 flux
shtml shtml
逝 deceased
速 speed
造 made
按鈕 button
峰会 summit
逢 every
連 connected
揭發 uncovered
可是 but
右方 right
週 week
進 into
集中 focus
逵 kuimo
逸 sukhumvit
山庄 wuthering
家用 household
逼 forced
射殺 shooting
逾 over
天主教 catholic
遁 dun
遂 hence
sights sights
有時會 sometimes
雇主 employers
遇 met
摄氏 photo
gsub gsub
遊 game
運 movement
遍 again
過 through
gmt gmt
遐 ya
道 road
達 gundam
只有 only
違 against
遗 left
遙 remote
田径 track
遜 jefferson
遞 handed
遠 far
附帶 attached
改了 changed
遣 contingent
遥 away
一年半 1.5
適 proper
遭 was
遮 punjab
核武器 weapon
gnu gnu
編入 into
咸丰 xianfeng
遲 late
千代田 chiyoda
當地 local
遵 compliance
遷 climate
選 choose
遺 legacy
gob gob
遼 遼
god god
避 avoidance
歡迎 welcome
邀 invited
邁 miami
還 still
reader reader
雅人 masato
邊 side
got got
gov gov
撮影 shadow
邑 cognac
邓 deng
呼喚 call
邕 yong
法拉 faraday
邛 qiong
murder murder
邢 xing
宗祠 ancestral
gpl gpl
那 that
邦 state
邨 estate
邪 evil
gps gps
陵墓 mausoleum
邬 wu
campbell campbell
gpu gpu
邮 email
蘭克 portland
邰 tai
邱 qiu
邳 pei
邵 shao
終於 finally
邸 di
邹 zou
邺 ye
邻 adjacent
蕭條 depression
郁 yu
regional regional
黄土 loess
郊 rural
郎 lang
郑 zheng
郜 gao
郝 hao
bruce bruce
生成 generated
郡 county
画廊 gallery
门槛 threshold
郢 ying
附庸 client
部 department
用意 intention
evolution evolution
portrait portrait
郭 guo
改任 gairen
貞觀 joan
郵 emails
尼斯 nice
lady lady
就會 will
都 are
gsm gsm
鄂 hubei
集会 assembly
印發 printing
可望 expected
取樣 take
鄉 folks
ultra ultra
留存 retained
鄒 鄒
河東 river
鄔 鄔
山形 yamagata
鄞 yin
政事 politics
鄢 yan
留学 abroad
沉沒 sinking
鄧 tang
注意 attention
鄭 cheng
heaven heaven
鄰 neighbor
屬性 of
留學 retention
million million
鄴 鄴
guc guc
沉没 sank
鄺 鄺
gui gui
反正 anyway
編制 made
gun gun
留守 stay
宰相 minister
酉 unitary
guy guy
酋 emirates
配 with
改作 changed
酒 wine
学者 scholars
劑量 dosage
native native
一連串 string
酚 propofol
推翻 overthrow
集体 collective
酥 crisp
酪 casein
對比 toby
酬 pay
pacific pacific
酮 flavonoids
雇佣 employment
酯 ester
酰 polyacrylamide
當場 scene
酱 sauce
加速 accelerate
攻佔 attack
酶 enzyme
酷 cool
酸 acid
酿 stuffed
泛指 refers
tonight tonight
步道 trail
黄埔 huangpu
醇 alcohol
醉 drunk
政令 decree
密西根 michigan
台東 taiwanese
醋 vinegar
編劇 drama
醒 wake
wake wake
海倫 helen
千米 km
醚 ether
病人 patients
醛 aldehyde
尋求 seek
醜 ugly
實為 actually
龍捲風 tornado
陣容 lineup
醫 doctor
醬 sauce
醮 jiao
醯 acyl
carter carter
醴 liquan
瑞穗 mizuho
october october
lake lake
起火 fire
采 mining
釉 glaze
释 release
釋 explain
里 in
重 heavy
野 wild
量 amount
寄生 parasitic
疑問 question
金 gold
控股 holding
吸引 attract
extra extra
釗 釗
掉落 drop
釘 spikes
land land
lang lang
釜 kettle
針 needle
男性 men
lane lane
釣 fishing
故事 story
岐山 qishan
專注 focus
encyclopedia encyclopedia
checkuserlog checkuserlog
夏威夷 hawaii
宣示 declared
藤子 tengzigou
wall wall
walk walk
粉絲 fans
對決 decision
鈉 sodium
路易斯 louis
鈍 dull
鈎 hook
鈔 money
消亡 die
鈕 button
championship championship
鈞 鈞
組曲 compose
赫爾 hell
動詞 verbs
鈣 tetrahydrate
edited edited
鈦 titanium
want want
起点 beginning
鈴 ringing
wang wang
官立 government
鈺 鈺
小池 koike
鈾 鈾
各方 parties
鉀 potassium
各族 ethnic
開發 developed
鉅 ju
司机 driver
拉斐爾 rafael
南昌市 nanchang
鉉 鉉
ward ward
薩拉 sami
found found
拜占庭 byzantine
沉淀 precipitation
鉛 pencil
鉤 claws
病例 cases
浩劫 holocaust
鉴 forensic
鉻 chrome
當天 day
銀 silver
原版 original
銃 銃
銅 bronze
lats lats
媒體 media
珍貴 precious
had had
align align
活塞 piston
小河 river
小泉 koizumi
hal hal
銓 銓
late late
han han
school school
latd latd
銘 motto
hat hat
has has
latm latm
銜 title
關注 note
力量 power
條件下 conditions
last last
宣称 claim
支出 spending
weight weight
安納 antigua
流域 basin
銳 sharp
hbo hbo
銷 marketing
屆時 she
小波 wavelet
升級 upgrade
bluedeck bluedeck
wars wars
贫穷 poverty
陡峭 steep
擴大 expansion
鋁 aluminum
放假 holiday
wave wave
hcl hcl
海关 customs
鋒 feng
揭示 reveal
收入 income
disease disease
宣稱 proclaimed
黨員 party
鋪 cobblestone
鋰 lithium
太平洋 pacific
鋸 saw
鋼 gundam
applications applications
錄 record
阜新 fuxin
法政 thammasat
alice alice
收养 adoption
經常 often
錐 cone
換算 swap
雙人 people
her her
疆域 territory
錘 cylinders
咖哩 curry
反派 villain
hey hey
錢 money
laws laws
russian russian
錦 antony
加里 gary
加重 aggravated
結晶 crystal
浮動 floating
錫 wide
kansas kansas
粗糙 rough
錯 wrong
萬里 million
動議 motion
雅克 jacques
抹黑 discredit
錶 watch
沙河 shahe
雅典 athens
鍊 necklace
鍋 pan
smart smart
岛屿 island
完結 finish
學習 learning
同日 day
法文 french
editor editor
后方 rear
離世 world
推舉 push
鍵 button
char char
chan chan
攻克 conquer
鍾 minutes
摇滚 rock
精确 accurate
small small
咖啡 coffee
鎂 magnesium
before before
addiswang addiswang
學者 learners
攻入 scored
鎊 pound
改写 overwrite
him him
hip hip
hit hit
his his
hiv hiv
鎖 lock
鎗 guns
撒旦 satan
哈佛 harvard
鎚 hammer
畫家 painter
鎧 鎧
runtime runtime
鎬 hao
鎮 town
square square
精確 accurately
鎳 鎳
沙洲 sandbar
剩餘 remainder
鏈 chain
落選 drop
hkt hkt
debut debut
一星期 week
反清 anti-qing
sounds sounds
鏗 鏗
alias alias
鏞 鏞
撞擊 hit
chen chen
鏡 mirror
鏢 bodyguards
